ID	Galaxy		Seq	RA		Dec		Type	PA	d	logNHI	Rad	b/a	Mass
#				"h:m:s":	"d:m:s"			deg:	pc	[/cm2]	kpc	b/a	Msun
#----------------------------------------------------------------------------------------------------------------------
59	ddo50		6	08:18:38.8	+70:45:47.4	1	73	926	0.6	4.7	0.6	57
60	ddo50		7	08:18:39.9	+70:41:36.9	1	90	792	0.8	3.4	1.0	59
61	ddo50		8	08:18:42.6	+70:40:54.9	1	180	203	0.9	3.5	0.5	1
62	ddo50		9	08:18:49.2	+70:43:40.0	1	42	348	0.9	2.3	0.8	6
63	ddo50		10	08:18:52.8	+70:42:47.5	3	90	198	1.2	1.8	1.0	3
64	ddo50		11	08:18:54.4	+70:41:28.1	1	20	653	0.8	2.3	0.9	33
65	ddo50		12	08:18:55.3	+70:38:52.1	1	35	1192	0.8	4.6	0.7	210
66	ddo50		13	08:18:57.5	+70:42:58.1	3	90	594	1.2	1.3	1.0	61
67	ddo50		14	08:18:58.2	+70:45:37.1	1	87	848	0.9	2.8	0.7	87
68	ddo50		15	08:18:59.5	+70:44:58.1	1	43	585	1.0	2.1	0.7	33
69	ddo50		16	08:19:02.8	+70:43:32.6	1	90	693	1.0	0.7	1.0	61
70	ddo50		17	08:19:05.8	+70:45:59.6	1	83	275	0.7	2.8	0.6	2
71	ddo50		18	08:19:05.9	+70:41:23.6	1	47	1889	1.1	2.1	0.7	3541
72	ddo50		19	08:19:07.6	+70:46:04.1	2	85	330	0.8	2.8	0.8	5
73	ddo50		20	08:19:07.6	+70:45:43.1	2	60	293	0.9	2.4	0.7	4
74	ddo50		21	08:19:09.5	+70:46:16.1	2	135	388	0.9	3.0	0.7	9
75	ddo50		22	08:19:12.8	+70:44:29.6	1	15	840	0.9	1.1	0.9	90
76	ddo50		23	08:19:13.1	+70:45:25.1	2	45	469	1.0	2.0	0.9	20
77	ddo50		24	08:19:17.1	+70:46:52.1	1	90	297	0.8	3.5	1.0	3
78	ddo50		25	08:19:19.2	+70:45:31.1	2	93	181	1.0	2.3	0.4	1
79	ddo50		26	08:19:20.4	+70:48:17.6	1	98	495	0.6	5.0	1.0	9
80	ddo50		27	08:19:23.1	+70:48:08.6	1	122	602	0.7	4.8	0.9	21
81	ddo50		28	08:19:23.4	+70:43:28.1	1	39	709	0.9	1.7	0.6	57
82	ddo50		29	08:19:25.2	+70:42:19.1	2	90	376	1.2	2.4	1.0	15
83	ddo50		30	08:19:25.6	+70:45:26.6	3	90	346	0.9	2.5	1.0	6
84	ddo50		31	08:19:26.2	+70:45:28.1	3	90	346	0.9	2.6	1.0	6
